,Time
0,35.854872591601165
1,36.62510495032457
2,37.40076380059987
3,38.181498099831124
4,38.96694485186858
5,39.75672929352162
6,40.55046510260182
7,41.34775462756414
8,42.1481891387703
9,42.95134910135375
10,43.75680446961917
11,44.564115002863794
12,45.37283060245991
13,46.18249166999064
14,46.99262948618302
15,47.80276661033401
16,48.6124172998761
17,49.421087949682
18,50.2282775506576
19,51.033478167126134
20,51.83617543245733
21,52.63584906234877
22,53.43197338511983
23,54.224017888332924
24,55.01144778101165
25,55.79372457068165
26,56.57030665441765
27,57.34064992303823
28,58.10420837755064
29,58.860434756909065
30,59.608781176113844
31,60.34869977364363
32,61.07964336718046
33,61.8010661165561
34,62.512424192820504
35,63.21317645230575
36,63.9027851145361
37,64.58071644281209
38,65.24644142627909
39,65.8994364622732
40,66.5391840377246
41,67.16517340838728
42,67.77690127465665
43,68.37387245273045
44,68.95560053986745
45,69.52160857249824
46,70.07142967594686
47,70.60460770452828
48,71.12069787079672
49,71.61926736273317
50,72.09989594767492
51,72.56217656181008
52,73.00571588408086
53,73.43013489336424
54,73.83506940782668
55,74.22017060537844
56,74.5851055241878
57,74.92955754224982
58,75.25322683504363
59,75.55583081035167
60,75.83710451935927
61,76.09680104319713
62,76.33469185413708
63,76.55056715070202
64,76.74423616600237
65,76.91552744866364
66,77.0642891157675
67,77.19038907728269
68,77.29371523152253
69,77.3741756312233
70,76.91552744866364
71,76.74423616600237
72,76.55056715070202
73,76.33469185413708
74,76.09680104319713
75,75.83710451935927
76,75.55583081035167
77,75.25322683504363
78,74.92955754224982
79,74.5851055241878
80,74.22017060537844
81,73.83506940782668
82,73.43013489336424
83,73.00571588408086
84,72.56217656181008
85,72.09989594767492
86,71.61926736273317
87,71.12069787079672
88,70.60460770452828
89,70.07142967594686
90,69.52160857249824
91,68.95560053986745
92,68.37387245273045
93,67.77690127465665
94,67.16517340838728
95,66.5391840377246
96,65.8994364622732
97,65.24644142627909
98,64.58071644281209
99,63.9027851145361
100,63.21317645230575
101,62.512424192820504
102,61.8010661165561
103,61.07964336718046
104,60.34869977364363
105,59.608781176113844
106,58.860434756909065
107,58.10420837755064
108,57.34064992303823
109,56.57030665441765
110,55.79372457068165
111,55.01144778101165
112,54.224017888332924
113,53.43197338511983
114,52.63584906234877
115,51.83617543245733
116,51.033478167126134
117,50.2282775506576
118,49.421087949682
119,48.6124172998761
120,47.80276661033401
121,46.99262948618302
122,46.18249166999064
123,45.37283060245991
124,44.564115002863794
125,43.75680446961917
126,42.95134910135375
127,35.09040564837786
128,34.33203078212726
129,33.580062269091535
130,32.834801898367296
131,32.09653889056026
132,31.36554983670221
133,30.642098657088525
134,29.926436579660933
135,29.218802137528655
136,28.51942118519079
137,27.82850693299463
138,27.146259999338326
139,26.472868480100853
140,25.80850803476007
141,25.153341988637955
142,24.507521450693012
143,23.871185446262395
144,23.244461064140655
145,23.244461064140655
146,22.6274636173681
147,22.02029681708992
148,21.423052958837307
149,20.835813120572674
150,20.258647371835494
151,19.691614993319664
152,19.134764706210262
153,18.588134910606456
154,18.05175393235693
155,17.52564027763615
156,17.009802894593037
157,16.50424144140819
158,16.008946560101922
159,15.523900155442933
160,15.049075678316182
161,14.584438412918447
162,14.129945767161455
163,13.68554756567452
164,13.251186344812243
165,12.82679764908696
166,12.412310328460924
167,12.007646835949428
168,11.61272352500271
169,11.227450946152182
170,10.851734142424776
171,10.485472943047846
172,10.128562254986337
173,9.780892351873813
174,9.442349159918686
175,9.112814540387808
176,8.792166568289526
177,8.480279806899865
178,8.1770255777958
179,7.882272226080713
180,7.595885380508182
181,7.317728208231053
182,7.047661663923339
183,6.7855447330436
184,6.531234669028274
185,6.284587224224075
186,6.045456874388059
187,5.813697036603865
188,5.589160280481327
189,5.3716985325258095
190,5.161163273581644
191,4.957405729271882
192,4.760277053373976
193,4.569628504087687
194,4.38531161316767
195,4.207178347909017
196,4.035081265988859
197,3.8688736631816987
198,3.708409713979906
199,3.5535446051639767
200,3.4041346623797004
201,3.2600374697912713
202,3.121111982890585
203,2.98721863455354
204,2.858219434444129
205,2.7339780618762304
206,2.6143599522518484
207,1.644252143790341
208,1.5671792283689303
209,1.4932750754157529
210,1.4224331500958807
211,1.3545492908874381
212,1.2895217178670437
213,1.2272510371470668
214,1.1676402416405767
215,1.1105947083289598
216,1.0560221922057906
217,1.00383281706892
218,0.9539390633307581
219,0.9062557530144396
220,0.8607000321010105
221,0.8171913503899769
222,0.7756514390324912
223,0.7360042858931929
224,0.6981761088932709
225,0.6620953274836391
226,0.6276925323933806
227,0.5949004537945973
228,0.5636539280207962
229,0.5338898629717391
230,0.5055472023334304
231,0.4785668887375667
232,0.4528918259803859
233,0.4284668404164025
234,0.4052386416380381
235,0.383155782547664
236,0.3621686189240773
237,0.3422292685809298
238,0.3232915702101703
239,0.305311041999097
240,0.28824484010522466
241,0.2720517170688003
242,0.25669198023851275
243,0.24212745028168256
244,0.22832141984607934
245,0.21523861243640538
246,0.20284514156449202
247,0.19110847022834598
248,0.10359353693949158
249,0.09728096730429814
250,0.09132590799257294
251,0.08570990558029669
252,0.0804153458183797
253,0.07542542232248686
254,0.07072410602934581
255,0.06629611542495832
256,0.06212688754824309
257,0.05820254977185484
258,0.054509892360253547
259,0.05103634180352483
260,0.04776993492398518
261,0.04469929375123815
262,0.041813601160076194
263,0.039102577264443245
264,0.03655645655958994
265,0.03416596580355106
266,0.031922302628163236
267,0.02981711486900799
268,0.027842480602911765
269,0.025990888880956062
270,0.02425522114434567
271,0.02262873330994543
272,0.021105038511824405
273,0.019678090484739834
274,0.018342167575141725
275,0.01709185736498973
276,0.01592204189343187
277,0.014827883461208974
278,0.01380481100250702
279,0.012848507008881911
280,0.011954894989829908
281,0.011120127454558306
282,0.01034057439953532
283,0.009612812286451252
284,0.008933613495310324
285,0.00829993623748891
286,0.007708914913736177
287,0.007157850902262517
288,0.006644203762247564
289,0.006165582838310309
290,0.006165582838310309
291,0.005719739251711269
292,0.005304558264299148
293,0.0049180520014744135
294,0.004558352520712024
295,0.004223705212468821
296,0.0039124625205925675
297,0.0036230779696501164
298,0.0033541004868995394
299,0.0031041690069430606
300,0.0028720073474155054
301,0.002656419344382346
302,0.002456284236444364
303,0.002270552286869343
304,0.002098240633394569
305,0.001938429355667684
306,0.0008635675105987069
307,0.0007951899325570818
308,0.0007320088820174195
309,0.0006736475393113964
310,0.0006197549499524767
311,0.0005700043630146781
312,0.0005240916676912603
313,0.0004817339228546282
314,0.00044266797466793436
315,0.00040664915752125063
316,0.0003734500737801738
317,0.00034285944804282657
318,0.00031468105180215743
319,0.00028873269460438127
320,0.0002648452779815052
321,0.00024286190861601885
322,0.00022263706736934516
323,0.00020403583097247207
324,0.0001869331433374803
325,0.0001712131336026928
326,0.00015676847817180416
327,0.0001434998041490021
328,0.00013131513170772438
329,0.00012012935306052099
330,0.00010986374582173056
331,0.00010044551867335327
332,9.180738735793111e-05
333,8.388717913043937e-05
334,7.662746390444765e-05
335,6.997521042619003e-05
336,6.388146590390132e-05
337,5.8301057609005385e-05
338,5.319231505058604e-05
339,4.851681140526281e-05
340,4.423912296123671e-05
341,4.032660540803703e-05
342,3.674918587256316e-05
343,3.3479169667481056e-05
344,3.049106078010223e-05
345,2.7761395188636214e-05
346,2.526858614834822e-05
347,2.2992780642784857e-05
348,2.0915726244986104e-05
349,1.902064768062958e-05
350,1.729213242945165e-05
351,1.5716024743206663e-05
352,1.4279327497961484e-05
353,1.2970111335795578e-05
354,1.1777430586105854e-05
355,1.0691245489790403e-05
356,9.702350280724268e-06
357,8.802306708232823e-06
358,7.983382611808118e-06
359,7.238495185201068e-06
360,6.561158591330244e-06
361,5.945435612275751e-06
362,5.385893040039591e-06
363,4.877560533840595e-06
364,4.415892688537696e-06
365,3.996734076413205e-06
366,3.6162870410654755e-06
367,3.2710820376179667e-06
368,2.957950327914502e-06
369,2.6739988528917506e-06
370,2.4165871169574235e-06
371,2.183305931008067e-06
372,1.971957871741053e-06
373,1.780539325202452e-06
374,6.309434121310791e-07
375,5.678377232788246e-07
376,5.108918453582596e-07
377,4.5952019241783085e-07
378,4.1319126216181017e-07
379,3.7142279771563633e-07
380,3.337773670530586e-07
381,2.9985832545996557e-07
382,2.6930612914878256e-07
383,2.4179497067166984e-07
384,2.1702970912424807e-07
385,1.9474307029790935e-07
386,1.74693093940495e-07
387,1.5666080713370983e-07
388,1.4044810450237582e-07
389,1.2587581754549428e-07
390,1.1278195683173431e-07
391,1.0102011214137709e-07
392,9.045799687106045e-08
393,8.097612415485952e-08
394,7.246660320230626e-08
395,6.483204531779897e-08
396,5.798456995261925e-08
397,5.1844901956317e-08
398,4.634155194398474e-08
399,4.1410072384871464e-08
400,3.699238265063438e-08
401,3.303615684256432e-08
402,2.9494268750393266e-08
403,2.6324288784534053e-08
404,2.3488028172240213e-08
405,2.0951126119440116e-08
406,1.868267601683399e-08
407,1.6654887113989806e-08
408,1.4842778401188293e-08
409,1.3223901727965454e-08
410,1.1778091451877118e-08
411,1.0487238152943347e-08
412,9.335084170386513e-09
413,8.30703892034945e-09
414,7.390012137843211e-09
415,6.572263354687964e-09
416,5.843266078993296e-09
417,5.193585282025824e-09
418,4.6147669262515185e-09
419,4.099238384965128e-09
420,3.640218710191939e-09
421,3.231637802341067e-09
422,2.8680636232251604e-09
423,2.5446366742724092e-09
424,2.2570110347357927e-09
425,2.001301321072199e-09
426,1.7740349889979807e-09
427,1.5721094545562226e-09
428,1.3927535603351623e-09
429,1.2334929582020164e-09
430,1.092119020966335e-09
431,9.666609326327406e-10
432,8.55360640685222e-10
433,7.566503844732489e-10
434,6.69132541528651e-10
435,6.69132541528651e-10
436,5.915615587903136e-10
437,5.228277584881111e-10
438,4.619428290548814e-10
439,4.080268300920518e-10
440,3.60296557291795e-10
441,3.180551284793969e-10
442,2.806826657342133e-10
443,2.476279610119497e-10
444,2.18401023949147e-10
445,1.9256642069582047e-10
446,1.6973732179660127e-10
447,1.4957018541816813e-10
448,1.3176000968604707e-10
449,1.1603609462409745e-10
450,1.0215826025555944e-10
451,8.991347288873794e-11
452,7.911283653128558e-11
453,6.9588910806852e-11
454,6.119332073421037e-11
455,5.379462731489397e-11
456,4.727643109990752e-11
457,4.153568380461392e-11
458,3.648118564538278e-11
459,3.2032248411055156e-11
460,2.8117506382888946e-11
461,2.467385910210359e-11
462,2.1645531675897614e-11
463,1.8983239830153643e-11
464,1.6643448277523293e-11
465,1.458771218892733e-11
466,1.278209264897717e-11
467,1.119663795427433e-11
468,9.804923489542314e-12
469,8.583643700551042e-12
470,7.512250384201794e-12
471,6.572632143436862e-12
472,5.748830415445055e-12
473,5.026787982819708e-12
474,4.3941263250734804e-12
475,1.1261382340862281e-12
476,9.81191024510167e-13
477,8.546461279443638e-13
478,7.442005579130212e-13
479,6.478352163190967e-13
480,5.637804516931249e-13
481,4.904857261449351e-13
482,4.265929095647075e-13
483,3.709127749702118e-13
484,3.2240431801242564e-13
485,2.801565672196594e-13
486,2.4337259019403197e-13
487,2.113554352195245e-13
488,1.8349577808698545e-13
489,1.5926107082181557e-13
490,1.3818601280273368e-13
491,1.1986418583001337e-13
492,1.0394071334567879e-13
493,9.010582050055499e-14
494,7.808918634637313e-14
495,6.765499232237008e-14
496,5.859758259696677e-14
497,5.073766188748918e-14
498,4.3918965266291466e-14
499,3.8005342304996206e-14
500,3.2878204829794654e-14
501,2.8434293666003293e-14
502,2.4583725133821874e-14
503,2.1248282803012793e-14
504,1.8359924196227605e-14
505,1.5859475814627016e-14
506,1.3695493103475661e-14
507,1.182326483110156e-14
508,1.0203943867589886e-14
509,8.803788560218823e-15
510,7.593500846644881e-15
511,6.5476489557717584e-15
512,5.644164048017878e-15
513,4.8639014659709045e-15
514,4.190258424977837e-15
515,3.6088409902926645e-15
516,3.1071740799594695e-15
517,2.6744490156322413e-15
518,2.3013038302221052e-15
519,1.979632143268605e-15
520,1.7024169425178339e-15
521,1.4635860723953847e-15
522,1.2578866348549046e-15
523,1.0807758624702561e-15
524,9.283263337951926e-16
525,7.971436723646995e-16
526,6.842951080335235e-16
527,5.872474868351807e-16
528,5.038134968886825e-16
529,4.3210503632060615e-16
530,3.704927875521101e-16
531,7.826787111608242e-17
532,6.688886767878413e-17
533,5.714721447059482e-17
534,4.8809817979275297e-17
535,4.167640110656512e-17
536,3.5574936176757097e-17
537,3.035770591081696e-17
538,2.589790709993099e-17
539,2.2086723138461622e-17
540,1.8830801492244427e-17
541,1.605008078065354e-17
542,1.367591961143788e-17
543,1.1649485775341867e-17
544,9.920370013202052e-18
545,8.445393424860286e-18
546,7.187581795570297e-18
547,6.115283757433737e-18
548,5.20141285549571e-18
549,4.422796315416574e-18
550,3.759615668569499e-18
551,3.1949264300788e-18
552,2.7142457883237928e-18
553,2.3051987878112504e-18
554,1.9572148032005526e-18
555,1.6612672385295909e-18
556,1.4096503665352546e-18
557,1.195788069360436e-18
558,1.0140699720809995e-18
559,8.59711090129598e-19
560,7.286316544895443e-19
561,6.173542463085011e-19
562,5.229157755702169e-19
563,4.4279218552326405e-19
564,3.748340633611185e-19
565,3.172115948048808e-19
566,2.68367521488276e-19
567,2.2697695033533615e-19
568,1.9191302773179323e-19
569,1.622176319166584e-19
570,1.370763578490782e-19
571,1.1579717259101855e-19
572,9.779220836240285e-20
573,8.256223692082767e-20
574,6.968343455820606e-20
575,5.879610331382022e-20
576,4.9595062288285266e-20
577,4.182146433518118e-20
578,3.5255828878920436e-20
579,2.971211199555142e-20
580,2.971211199555142e-20
581,2.5032660917758268e-20
582,2.1083922405489236e-20
583,1.775279349197042e-20
584,1.4943519428983677e-20
585,1.2575057608409236e-20
586,1.0578838166997148e-20
587,8.89686217807933e-21
588,7.480087046465446e-21
589,6.287056164662065e-21
590,5.2827362430482405e-21
591,4.437531150854137e-21
592,3.726445733390617e-21
593,3.1283770193807867e-21
594,2.625513599306662e-21
595,2.2028268260575164e-21
596,3.7457662147492946e-22
597,3.132468020245653e-22
598,2.6188071805399977e-22
599,2.1887255091349426e-22
600,1.828731625245349e-22
601,1.5274941326219336e-22
602,1.275498714851702e-22
603,1.0647591954292618e-22
604,8.88574145954007e-23
605,7.41321926361689e-23
606,6.182881426147546e-23
607,5.155204399109371e-23
608,4.2970633886136146e-23
609,3.580704900219485e-23
610,2.982882871400961e-23
611,2.484132572179146e-23
612,2.0681604933278754e-23
613,1.7213318541710357e-23
614,1.4322402448550454e-23
615,1.1913463525419005e-23
616,9.906747762815529e-24
617,8.235596699007984e-24
618,6.844314156698828e-24
619,5.686377657668897e-24
620,4.722939292024541e-24
621,3.9215695898469125e-24
622,3.255205333524318e-24
623,2.701268474180977e-24
624,2.2409285574558503e-24
625,1.8584854763349767e-24
626,1.5408530818268765e-24
627,1.2771273058393697e-24
628,1.0582250774163148e-24
629,8.765825218179606e-25
630,7.259027878512694e-25
631,6.0094540810851905e-25
632,4.973504063570183e-25
633,4.1149146586317154e-25
634,3.403533953216162e-25
635,2.814299034285263e-25
636,2.3263834267855305e-25
637,1.922486276251617e-25
638,1.5882398941257698e-25
639,1.3117161098863527e-25
640,1.083015079225806e-25
641,8.939228816854279e-26
642,7.376264883076934e-26
643,6.084765605515306e-26
644,5.0179011519298706e-26
645,4.136864059637455e-26
646,3.4095047303190225e-26
647,2.8091973115625514e-26
648,2.313897358506931e-26
649,1.905359088370019e-26
650,1.568485401154136e-26
651,1.2907883146550034e-26
652,1.0619411962015304e-26
653,8.734072888722527e-27
654,7.181316280435295e-27
655,5.902856101963662e-27
656,4.8505528121148544e-27
657,3.9846591552314565e-27
658,3.272367103196742e-27
659,2.6866046213500547e-27
660,2.205039614783914e-27
661,1.8092556367878167e-27
662,1.48406995156719e-27
663,1.2169695414929429e-27
664,9.976448041860187e-28
665,8.176041378124303e-28
666,6.698554817452816e-28
667,5.486432623466247e-28
668,4.492311717988169e-28
669,3.6772284979688856e-28
670,3.009139002360566e-28
671,2.461698050324833e-28
672,2.0132523422035942e-28
673,1.6460102818991847e-28
674,1.345357715830024e-28
675,1.0992941157261744e-28
676,8.979681483128276e-29
677,7.332952306997771e-29
678,5.986426958990422e-29
679,4.885706961622494e-29
680,3.9861904227848753e-29
681,3.251318888967538e-29
682,2.651135909666131e-29
683,2.161102256463018e-29
684,1.7611223988940385e-29
685,1.4347448151759473e-29
686,1.1685053002279828e-29
687,9.51387867247377e-30
688,7.743823220180118e-30
689,6.301212863715174e-30
690,5.125824955179247e-30
691,4.168447064231682e-30
692,3.388876245678031e-30
693,2.7542796160136944e-30
694,2.237851405104976e-30
695,1.8177132074078456e-30
696,1.4760136685399566e-30
697,1.198191667613314e-30
698,9.723734906267011e-31
699,7.888797805488313e-31
700,6.3982239770387455e-31
701,5.187748964270512e-31
702,4.205032581235829e-31
703,3.4074593008900145e-31
704,2.760341970219098e-31
705,2.235455349069685e-31
706,1.8098392811023899e-31
707,1.4648222215855667e-31
708,1.185224795901946e-31
709,9.587103968175891e-32
710,7.752558373084259e-32
711,6.267199970308003e-32
712,5.064924298955389e-32
713,4.0920719826455944e-32
714,3.305098979165828e-32
715,2.6686804537465097e-32
716,2.1541680428473717e-32
717,1.7383350315295428e-32
718,1.4023560264626333e-32
719,1.1309775582920663e-32
720,9.118440929622327e-33
721,7.349505005846935e-33
722,5.921973919653085e-33
723,4.770301075266757e-33
724,3.841457116215839e-33
725,3.092552548471176e-33
726,2.4889093876691095e-33
727,2.0024975023330208e-33
728,1.6106670703603092e-33
729,1.2951213888966382e-33
730,1.0410847172382516e-33
731,8.36628328896044e-34
732,6.721248618891412e-34
733,5.398066790818283e-34
